symbol,name_ar,name_en,sector,business_class,vision2030_theme,event_exposure_overall,primary_event_driver,event_confidence,seasonal_hajj_exposure,seasonal_ramadan_exposure,seasonal_primary_drivers,index_membership_summary,source_type,source_freshness_status,review_priority,classification_risk
3091,شركة أسمنت الجوف,Al Jouf Cement Co.,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
3092,شركة أسمنت الرياض,Riyadh Cement Co.,المواد الأساسية,basic_materials,industrial_development,high,venue_construction,medium,none,none,none,TASI:needs_verification,official,current,none,low
4001,أسواق عبدالله العثيم,Al Othaim Markets,تجزئة الأغذية,consumer_defensive,food_security_and_retail,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
4002,المواساة,Mouwasat,الرعاية الصحية,healthcare,healthcare_quality,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
4003,إكسترا,eXtra,تجزئة وتوزيع السلع الكمالية,consumer_retail,quality_of_life_and_retail,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
4004,دله الصحية,Dallah Healthcare,الرعاية الصحية,healthcare,healthcare_quality,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
4005,رعاية,Care,الرعاية الصحية,healthcare,healthcare_quality,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
4006,الشركة السعودية للتسويق,Saudi Marketing Co.,تجزئة وتوزيع السلع الكمالية,consumer_retail,quality_of_life_and_retail,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
4007,الحمادي,Al Hammadi,الرعاية الصحية,healthcare,healthcare_quality,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
4008,الشركة السعودية للعدد والأدوات,Saudi Company for Hardware,تجزئة وتوزيع السلع الكمالية,consumer_retail,quality_of_life_and_retail,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
4009,السعودي الألماني الصحية,Saudi German Health,الرعاية الصحية,healthcare,healthcare_quality,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
4010,شركة دور للضيافة,Dur Hospitality Co.,الخدمات الاستهلاكية,consumer_services,quality_of_life_and_retail,high,hospitality_tourism,high,high,none,hospitality,TASI:needs_verification,official,current,none,low
4011,شركة لازوردي للمجوهرات,Lazurde Company for Jewelry,تجزئة وتوزيع السلع الكمالية,consumer_retail,quality_of_life_and_retail,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
4012,شركة ثوب الأصيل,Thob Al Aseel Co.,تجزئة وتوزيع السلع الكمالية,consumer_retail,quality_of_life_and_retail,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
4013,مجموعة سليمان الحبيب,Sulaiman Al Habib,الرعاية الصحية,healthcare,healthcare_quality,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
4014,شركة دار المعدات الطبية والعلمية,Scientific and Medical Equipment House Co.,الرعاية الصحية,healthcare,healthcare_quality,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
4015,شركة مصنع جمجوم للأدوية,Jamjoom Pharmaceuticals Factory Co.,الرعاية الصحية,healthcare,healthcare_quality,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
4016,شركة الشرق الأوسط للصناعات الدوائية,Middle East Pharmaceutical Industries Co.,الرعاية الصحية,healthcare,healthcare_quality,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
4017,فقيه الطبية,Fakeeh Care,الرعاية الصحية,healthcare,healthcare_quality,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
4018,شركة الموسى الصحية,Almoosa Health Co.,الرعاية الصحية,healthcare,healthcare_quality,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
4019,الشركة الطبية التخصصية,Specialized Medical Co.,الرعاية الصحية,healthcare,healthcare_quality,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
4020,الشركة العقارية السعودية,Saudi Real Estate Co.,إدارة وتطوير العقارات,real_estate,housing_and_real_estate,high,urban_infrastructure,medium,none,none,none,TASI:needs_verification,official,current,none,low
4021,شركة مجمع المركز الكندي الطبي العام,Canadian Medical Center Co.,الرعاية الصحية,healthcare,healthcare_quality,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
4030,البحري,Bahri,النقل,transportation_logistics,logistics_and_transport,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
4031,الخدمات الأرضية,Saudi Ground Services,النقل,transportation_logistics,logistics_and_transport,high,transport_mobility,medium,high,none,ground_services,TASI:needs_verification,official,current,none,low
